TripID;TaxiID;MonthS;DayS;YearS;Start_time;MonthE;DayE;YearE;End_time;New_Start_Time;New_End_time;Trip_Minutes;;;;;;;;;;;;;;;;;;;
7654d1fd316d44e4c49a4ca656aa9f1fa821a98b;ddd;4;22;2016;14:15;4;22;2016;14:30;14:30;14:37;420;1.2;17031839100;17031833000;32;28;6.75;3.00;0.00;0.00;$9.75;Credit Card;Taxi Affiliation Services;41.880.994.471;-87.632.746.489;POINT (-87.632746 41.880994);4.188.528.132;-876.572.332;POINT (-87.657233 41.885281);38
7656702e0619f6929aa9647e0ecb966700d22206;ddd;4;22;2016;13:00;4;22;2016;13:15;13:12;13:27;900;1.7;17031081401;17031281900;8;28;9.50;0.00;0.00;0.00;$9.50;Cash;;4.189.503.345;-87.619.710.672;POINT (-87.619711 41.895033);41.879.255.084;-87.642.648.998;POINT (-87.642649 41.879255);37
7657b072cab14eea8df2c5bf351bf7055c70786f;ddd;4;22;2016;22:00;4;22;2016;22:30;22:09;22:36;1620;1;17031980000;17031081600;76;8;43.50;0.00;0.00;5.00;$48.50;Cash;Taxi Affiliation Services;4.197.907.082;-87.903.039.661;POINT (-87.90304 41.979071);41.892.072.635;-87.628.874.157;POINT (-87.628874 41.892073);75
7657fa1f00885897496d009fa6add436ba87e41d;ddd;4;22;2016;19:15;4;22;2016;19:30;19:20;19:36;960;4.34;;;32;24;15.00;0.00;0.00;0.00;$15.00;Cash;;41.878.865.584;-87.625.192.142;POINT (-87.625192 41.878866);41.901.206.994;-87.676.355.989;POINT (-87.676356 41.901207);38
7659b54e807812f04b29030c643bbc729897e66e;ddd;4;22;2016;20:30;4;22;2016;20:30;20:32;20:44;720;2.1;;;6;3;9.25;3.00;0.00;0.00;$12.25;Credit Card;;41.944.226.601;-87.655.998.182;POINT (-87.655998 41.944227);4.196.581.197;-87.655.878.786;POINT (-87.655879 41.965812);57
765c10148a94451a2eef765d538fb9f5c2303a7c;fff;4;22;2016;12:15;4;22;2016;12:15;12:22;12:22;0;0;;;;;33.25;6.55;0.00;0.00;$39.80;Credit Card;Chicago Elite Cab Corp. (Chicago Carriag;;;;;;;
765e04145ffa6a4e3c44354676cd6afb86a34f3a;fff;4;22;2016;15:15;4;22;2016;15:30;15:16;15:30;840;7;;;8;77;13.50;0.00;0.00;0.00;$13.50;Unknown;Dispatch Taxi Affiliation;41.899.602.111;-87.633.308.037;POINT (-87.633308 41.899602);419.867.118;-87.663.416.405;POINT (-87.663416 41.986712);37
7660a643a2559fb7e7d74c8f250d216de17ea7c7;fff;4;22;2016;4:45;4;22;2016;4:45;4:46;4:50;240;0;;;1;77;5.50;0.00;0.00;0.00;$5.50;Cash;Taxi Affiliation Services;42.009.622.881;-87.670.166.857;POINT (-87.670167 42.009623);419.867.118;-87.663.416.405;POINT (-87.663416 41.986712);10
76641ddfaf9884d8270c6d9044acaf91a7b72aff;fff;4;22;2016;12:45;4;22;2016;12:45;12:57;13:00;180;0.6;17031320100;17031839100;32;32;4.75;0.00;0.00;0.00;$4.75;Cash;;41.884.987.192;-87.620.992.913;POINT (-87.620993 41.884987);41.880.994.471;-87.632.746.489;POINT (-87.632746 41.880994);38
7664342badc13813f70fef4db2035a879c730a47;ggg;4;22;2016;15:00;4;22;2016;15:15;15:10;15:21;660;0.1;17031081800;17031833100;8;28;9.50;0.00;0.00;0.00;$9.50;Cash;Taxi Affiliation Services;4.189.321.636;-8.763.784.421;POINT (-87.637844 41.893216);41.879.066.994;-87.657.005.027;POINT (-87.657005 41.879067);37
76658b628ed71fe2aaa0b0432626d4d716085a81;ggg;4;22;2016;12:45;4;22;2016;12:45;12:45;12:55;600;1.4;17031839100;17031081700;32;8;7.25;3.00;0.00;1.50;$11.75;Credit Card;Choice Taxi Association;41.880.994.471;-87.632.746.489;POINT (-87.632746 41.880994);41.892.042.136;-8.763.186.395;POINT (-87.631864 41.892042);38
7667cda45831dafc1dc048fc394b5e1e4416ee20;ggg;4;22;2016;19:15;4;22;2016;19:30;19:21;19:46;1500;3.9;17031839100;17031070102;32;7;15.50;0.00;0.00;0.00;$15.50;Cash;Dispatch Taxi Affiliation;41.880.994.471;-87.632.746.489;POINT (-87.632746 41.880994);4.193.057.857;-87.642.206.313;POINT (-87.642206 41.930579);38
76680e9d032628db9ef4512ac71d7873da48bb78;ggg;4;22;2016;10:15;4;22;2016;10:45;10:21;10:38;1020;3.6;17031081500;17031330100;8;33;13.25;3.31;0.00;0.00;$16.56;Credit Card;;41.892.507.781;-87.626.214.906;POINT (-87.626215 41.892508);41.859.349.715;-87.617.358.006;POINT (-87.617358 41.85935);37
76681cc1b9c48e1010fc882ac9ff55a4b0a56cad;ggg;4;22;2016;18:15;4;22;2016;18:30;18:21;18:34;780;5.16;17031839100;17031340500;32;34;15.75;0.00;0.00;0.00;$15.75;Cash;;41.880.994.471;-87.632.746.489;POINT (-87.632746 41.880994);41.834.480.698;-87.632.959.635;POINT (-87.63296 41.834481);38
76682bea1a4ecf9afbca0360c9cd3dc43b3b08dc;hhh;4;22;2016;8:00;4;22;2016;8:30;8:14;8:44;1800;12.1;;;8;;33.00;0.00;0.00;16.50;$49.50;Cash;;41.899.602.111;-87.633.308.037;POINT (-87.633308 41.899602);;;;37
7669008f5362a4cadbd1186e14c132995721e2f0;hhh;4;22;2016;7:30;4;22;2016;7:30;7:34;7:36;120;0.6;17031280100;17031281900;28;28;4.75;0.00;0.00;0.00;$4.75;Cash;;41.885.300.022;-87.642.808.466;POINT (-87.642808 41.8853);41.879.255.084;-87.642.648.998;POINT (-87.642649 41.879255);29
766a584dd5bf10b740544a09c0f63fd1c4a1f627;hhh;4;22;2016;22:15;4;22;2016;22:15;22:25;22:29;240;0.9;;;6;3;5.50;0.00;0.00;0.00;$5.50;Cash;;41.944.226.601;-87.655.998.182;POINT (-87.655998 41.944227);4.196.581.197;-87.655.878.786;POINT (-87.655879 41.965812);57
766e8effc3269f1828534fba76e70998f59b54f8;hhh;4;22;2016;23:00;4;22;2016;23:15;23:07;23:17;600;0;17031839100;17031081500;32;8;7.50;0.00;0.00;1.00;$8.50;Cash;Taxi Affiliation Services;41.880.994.471;-87.632.746.489;POINT (-87.632746 41.880994);41.892.507.781;-87.626.214.906;POINT (-87.626215 41.892508);38
7670c5d9adf545fa778fd96ca405cded6032affb;hhh;4;22;2016;22:15;4;22;2016;22:15;22:23;22:29;360;1.1;17031839100;17031320400;32;32;6.50;2.00;0.00;1.50;$10.00;Credit Card;Northwest Management LLC;41.880.994.471;-87.632.746.489;POINT (-87.632746 41.880994);41.877.406.123;-87.621.971.652;POINT (-87.621972 41.877406);38
